tweet_id,retweet_count,favorite_count
847842811428974592,1426,5700
847617282490613760,451,7290
847606175596138505,3604,19531
847251039262605312,4562,21275
847157206088847362,6220,20793
847116187444137987,3395,22293
846874817362120707,4175,20924
846514051647705089,12345,46520
846505985330044928,3291,14721
846153765933735936,9653,33049
846139713627017216,10504,32185
846042936437604353,3083,16662
845812042753855489,9322,30571
845677943972139009,5093,26194
845397057150107648,1930,7966
845306882940190720,5747,24344
845098359547420673,8172,0
844979544864018432,2755,14230
844973813909606400,3429,15791
844704788403113984,11047,40449
844580511645339650,3356,17213
844223788422217728,2346,14250
843981021012017153,3121,15812
843856843873095681,4941,22382
843604394117681152,2946,17665
843235543001513987,6468,22481
842846295480000512,3848,15922
842765311967449089,1360,7065
842535590457499648,3748,18946
842163532590374912,6209,25638
842115215311396866,3245,14675
841833993020538882,16435,0
841680585030541313,8301,26861
841439858740625411,3928,13241
841320156043304961,5819,20706
841314665196081154,5027,16593
841077006473256960,5691,24010
840761248237133825,1882,0
840728873075638272,17384,0
840698636975636481,2,188
840696689258311684,1050,12906
840632337062862849,1882,9416
840370681858686976,4887,17282
840268004936019968,6156,20240
839990271299457024,2469,14111
839549326359670784,8360,28918
839290600511926273,154,0
839239871831150596,7028,28598
838952994649550848,4272,20620
838921590096166913,2231,11744
838916489579200512,36,0
838831947270979586,11899,0
838561493054533637,1424,11480
838476387338051585,5186,23770
838201503651401729,10867,0
838150277551247360,354,1769
838085839343206401,0,149
838083903487373313,3393,18556
837820167694528512,8470,35984
837482249356513284,476,4038
837471256429613056,2471,13469
837366284874571778,5707,22245
837110210464448512,2581,16876
836989968035819520,2474,13405
836753516572119041,4978,20261
836677758902222849,2393,13287
836648853927522308,592,0
836397794269200385,29807,0
836380477523124226,3189,15506
836260088725786625,4629,22419
836001077879255040,4632,20148
835685285446955009,8819,0
835574547218894849,3908,18763
835536468978302976,1841,0
835309094223372289,22710,0
835297930240217089,3233,17313
835264098648616962,1841,8175
835246439529840640,78,2203
835172783151792128,6202,27572
835152434251116546,3256,23692
834931633769889797,1786,11436
834786237630337024,5921,22316
834574053763584002,2737,14457
834477809192075265,11547,0
834458053273591808,1810,10162
834209720923721728,5175,21762
834167344700198914,3929,16638
834089966724603904,2297,10608
834086379323871233,2398,13799
833863086058651648,2602,14157
833826103416520705,3723,16211
833732339549220864,234,0
833722901757046785,3473,21855
833479644947025920,2238,15698
833124694597443584,5243,21335
832998151111966721,2401,14056
832769181346996225,40,0
832757312314028032,3929,17786
832682457690300417,3179,12548
832645525019123713,563,3085
832636094638288896,3034,16769
832397543355072512,2410,12629
832369877331693569,3453,18146
832273440279240704,2526,11956
832215909146226688,6710,0
832215726631055365,10175,0
832088576586297345,2,70
832040443403784192,10549,0
832032802820481025,5037,18848
831939777352105988,6656,25391
831926988323639298,35,361
831911600680497154,7067,29262
831670449226514432,1967,11051
831650051525054464,2105,7600
831552930092285952,2487,9528
831322785565769729,1658,9727
831315979191906304,1211,6903
831309418084069378,2646,12410
831262627380748289,2227,12606
830956169170665475,1620,8444
830583320585068544,18287,70859
830173239259324417,6197,0
830097400375152640,3265,10402
829878982036299777,5451,0
829861396166877184,2127,12953
829501995190984704,11547,33656
829449946868879360,2205,11086
829374341691346946,10136,36691
829141528400556032,8062,25983
829011960981237760,17646,56182
828801551087042563,3699,0
828770345708580865,6391,27114
828708714936930305,12218,38837
828650029636317184,1468,10080
828409743546925057,1252,6673
828408677031882754,1397,8117
828381636999917570,2420,13395
